rank,title,id,marked_as_amazon,is_ad,rating,review_count
0,"365 by Whole Foods Market, Lozenges Zinc Vitamin C, 90 Count",B074H5787L,True,False,4.6,1501
1,"Amazon Brand - Solimo Zinc 30mg, Unflavored, 300 Tablets, Ten Month Supply",B087THGHM1,True,False,4.6,1312
2,"365 by Whole Foods Market, Zinc Chelated, 120 Veg Capsules",B074KL8F75,True,False,4.7,327
3,"365 by Whole Foods Market, Zinc Chelated, 60 Capsules",B074H5BV39,True,False,4.7,1226
4,"365 by Whole Foods Market, Cal-Mag-Zinc Vitamin D3, 180 Count",B074KHWVGV,True,False,4.4,249
5,"Amazon Basic Care Electrolyte Solution Advantage Care with PreVital Prebiotics, Cherry Punch, Designed to Help Prevent Dehydration, Replaces Electrolytes, Fluid and Zinc, 33.8 Fluid Ounces",B07KK566V3,True,False,4.6,2018
6,"Amazon Brand - Revly Zinc+ Vitamin C, Natural Lemon Flavor Lozenges, 240 Count",B0898BSYB3,True,False,4.5,194
7,"365 Everyday Value, Zinc Lozenge with Vitamin C, 90 ct",B074MG1GF9,True,False,4.2,64
8,"365 Everyday Value, Chelated Zinc plus Copper, 120 ct",B07845RJVM,True,False,4.4,21
9,"365 by Whole Foods Market, Calcium Magnesium Zinc, 90 Tablets",B074H5H157,True,False,4.5,795
10,"Amazon Elements Calcium plus Vitamin D, Calcium 500mg with D2 600IU, Vegan, 65 Tablets (2 month supply) (Packaging may vary), Supports Strong Bones and Immune Health",B075DKVTKQ,True,False,4.6,1607
11,"365 by Whole Foods Market, Selenium 100MCG, 120 Tablets",B074H6F73W,True,False,4.6,667
12,"Amazon Elements Calcium Complex with Vitamin D, 250 mg Calcium (3 per Serving), Vegan, 195 Capsules (Packaging may vary), Supports Strong Bones and Immune Health",B01L081SO2,True,False,4.5,560
13,"Amazon Elements Organic Whole Food Calcium & Magnesium, 90 tablets",B08TNPWH67,True,False,4.5,234
